0 0
114 0
229 0
343 0
458 0
572 0
687 0
801 0
916 0
1030 1657
1145 1306
1260 1127
1374 1051
1489 933
1603 844
1718 789
1832 737
1947 713
2061 651
2176 596
2291 610
2405 617
2520 589
2634 590
2749 536
2863 575
2978 597
3092 630
3207 612
3321 617
3436 709
3551 719
3665 791
3780 888
3894 948
4009 1147
4123 1320
4238 1545
4352 1718
4467 2109
4582 2560
4696 3317
4811 3802
4925 4502
5040 5253
5154 6315
5269 7403
5383 8084
5498 9354
5612 10970
5727 12369
5842 13236
5956 16250
6071 17507
6185 18872
6300 20404
6414 22280
6529 23285
6643 25965
6758 27743
6873 30391
6987 32190
7102 33611
7216 34538
7331 36257
7445 38373
7560 40920
7674 44616
7789 47081
7903 48965
8018 50261
8133 51412
8247 54818
8362 54554
8476 52714
8591 49089
8705 48068
8820 47682
8934 47024
9049 41578
9164 33063
9278 22767
9393 14077
9507 8584
9622 5295
9736 3561
9851 2514
9965 1903
10080 1348
10194 1047
10309 738
10424 568
10538 378
10653 1574
10767 145
10882 98
10996 43
11111 20
11225 15
11340 11
